from,to,weight
0._p18-p27-s6-s14-s1-s12-p32-s16-s13-p23-s9-p20-s10-s11-p31-p28-p26-p29-s5-p21-p17-s8-p24-p30-s15-p22-s3-s7-p19-s4-s2-p25,1._ref-ref-rec-cite-fst-fst-fst-author-fst-ref-ref-fst-rec-fst-ref-fst-key-author-rec-ref-fst-fst-fst-rec-fst-key-rec-key-rec-rec-ref-key,32
1._ref-ref-rec-cite-fst-fst-fst-author-fst-ref-ref-fst-rec-fst-ref-fst-key-author-rec-ref-fst-fst-fst-rec-fst-key-rec-key-rec-rec-ref-key,2._doc-doc-doc-doc-fst-author-fst-doc-doc-doc-doc-fst-doc-fst-fst-doc-doc-doc-doc-doc-fst-doc-doc-doc-fst-key-doc-class-doc-doc-doc-doc,32
2._doc-doc-doc-doc-fst-author-fst-doc-doc-doc-doc-fst-doc-fst-fst-doc-doc-doc-doc-doc-fst-doc-doc-doc-fst-key-doc-class-doc-doc-doc-doc,3._fst-ref-doc-fst-key-cite-doc-author-doc-fst-author-author-author-rec-rec-doc-rec-rec-fst-key-rec-fst-rec-fst-cite,25
3._fst-ref-doc-fst-key-cite-doc-author-doc-fst-author-author-author-rec-rec-doc-rec-rec-fst-key-rec-fst-rec-fst-cite,4._fst-fst-doc-doc-key-cite-fst-doc-doc-doc-doc-fst-doc-doc-fst-key-doc-key-doc-fst-doc,21
4._fst-fst-doc-doc-key-cite-fst-doc-doc-doc-doc-fst-doc-doc-fst-key-doc-key-doc-fst-doc,5._fst-doc-key-ref-doc-fst-class-fst-rec-rec-author-key-cite-doc-rec-fst-ref,17
5._fst-doc-key-ref-doc-fst-class-fst-rec-rec-author-key-cite-doc-rec-fst-ref,6._fst-doc-doc-doc-doc-doc-doc-doc-key-doc-doc-fst-doc,13
6._fst-doc-doc-doc-doc-doc-doc-doc-key-doc-doc-fst-doc,7._rec-doc-key-ref-rec-fst,6
7._rec-doc-key-ref-rec-fst,8._doc-key-doc-doc-fst,5
8._doc-key-doc-doc-fst,9._fst-key-ref-key-doc,5
9._fst-key-ref-key-doc,10._fst-key-doc,3
10._fst-key-doc,11._doc-key,2
11._doc-key,12._rec-key,2
12._rec-key,13._doc-author,2
13._doc-author,14._rec-doc,2
14._rec-doc,15._doc,1
15._doc,16._rec,1
16._rec,17._doc,1
17._doc,18._rec,1
18._rec,19._doc,1
19._doc,20._rec,1
20._rec,21._doc,1
21._doc,22._key,1
13._doc-author,24._doc,1
13._doc-author,25._doc,1
13._doc-author,26._doc,1
12._rec-key,27._doc-doc,2
12._rec-key,28._doc,1
12._rec-key,29._doc,1
12._rec-key,30._doc,1
12._rec-key,31._doc,1
12._rec-key,32._doc,1
11._doc-key,33._author-doc,2
9._fst-key-ref-key-doc,34._doc,1
9._fst-key-ref-key-doc,35._doc,1
8._doc-key-doc-doc-fst,36._doc-cite-doc,3
8._doc-key-doc-doc-fst,37._doc-doc,2
8._doc-key-doc-doc-fst,38._doc-doc,2
7._rec-doc-key-ref-rec-fst,39._doc-doc,2
7._rec-doc-key-ref-rec-fst,40._doc,1
7._rec-doc-key-ref-rec-fst,41._doc,1
6._fst-doc-doc-doc-doc-doc-doc-doc-key-doc-doc-fst-doc,42._doc,1
5._fst-doc-key-ref-doc-fst-class-fst-rec-rec-author-key-cite-doc-rec-fst-ref,43._doc-doc-doc-doc-doc-doc,6
5._fst-doc-key-ref-doc-fst-class-fst-rec-rec-author-key-cite-doc-rec-fst-ref,44._doc-author-doc-doc-doc,5
5._fst-doc-key-ref-doc-fst-class-fst-rec-rec-author-key-cite-doc-rec-fst-ref,45._doc-doc-doc-doc,4
