from,to,weight
0._s13-p20-s11-s5,1._fst-fst-fst-fst,4
1._fst-fst-fst-fst,2._doc-fst-fst-fst,4
2._doc-fst-fst-fst,3._ref-doc-doc-fst,4
3._ref-doc-doc-fst,4._doc-doc,2
3._ref-doc-doc-fst,5._doc-doc,2
3._ref-doc-doc-fst,6._doc,1
3._ref-doc-doc-fst,7._doc,1
2._doc-fst-fst-fst,9._key-doc-doc,3
9._key-doc-doc,10._doc-cite,2
10._doc-cite,11._key,1
11._key,12._doc,1
2._doc-fst-fst-fst,14._cite-doc-doc,3
2._doc-fst-fst-fst,15._doc,1
1._fst-fst-fst-fst,15._class-doc-doc,3
15._class-doc-doc,16._key,1
16._key,17._doc,1
15._class-doc-doc,19._doc,1
0._s13-p20-s11-s5,19._ref-ref-cite-rec,4
19._ref-ref-cite-rec,20._doc-doc-doc,3
20._doc-doc-doc,21._rec-cite,2
21._rec-cite,22._doc,1
19._ref-ref-cite-rec,24._doc-doc-doc,3
19._ref-ref-cite-rec,25._doc-doc-doc,3
19._ref-ref-cite-rec,26._doc-doc-doc,3
19._ref-ref-cite-rec,27._doc,1
0._s13-p20-s11-s5,28._fst-key-cite,3
28._fst-key-cite,29._fst-key-doc,3
29._fst-key-doc,30._fst-fst-rec,3
30._fst-fst-rec,31._fst-key-doc,3
28._fst-key-cite,33._doc,1
0._s13-p20-s11-s5,34._rec-fst-ref,3
34._rec-fst-ref,35._doc-fst-doc,3
0._s13-p20-s11-s5,37._cite,1
