from,to,weight
0._p23-p26-p21-p24-p25,1._ref-key-ref-fst-key,5
1._ref-key-ref-fst-key,2._doc-doc-doc-doc-doc,5
2._doc-doc-doc-doc-doc,3._rec-author,2
3._rec-author,4._doc,1
3._rec-author,5._doc,1
3._rec-author,6._doc,1
1._ref-key-ref-fst-key,8._doc-doc-doc-doc-doc,5
1._ref-key-ref-fst-key,9._doc-doc-doc-doc-doc,5
1._ref-key-ref-fst-key,10._doc-doc-doc-doc-doc,5
1._ref-key-ref-fst-key,11._doc-doc-doc-doc-doc,5
1._ref-key-ref-fst-key,12._doc-doc-doc-doc-doc,5
1._ref-key-ref-fst-key,13._doc-doc-doc-doc-doc,5
1._ref-key-ref-fst-key,14._doc-doc-doc-doc-doc,5
1._ref-key-ref-fst-key,15._doc-doc-doc-doc-doc,5
1._ref-key-ref-fst-key,16._doc-doc-doc-doc-doc,5
1._ref-key-ref-fst-key,17._doc-doc-doc,3
1._ref-key-ref-fst-key,18._doc-doc-doc,3
1._ref-key-ref-fst-key,19._doc-doc-doc,3
1._ref-key-ref-fst-key,20._doc-doc,2
1._ref-key-ref-fst-key,21._doc-doc,2
1._ref-key-ref-fst-key,22._doc-doc,2
1._ref-key-ref-fst-key,23._doc,1
0._p23-p26-p21-p24-p25,24._author-author-rec-fst-ref,5
24._author-author-rec-fst-ref,25._doc-doc-doc-doc-doc,5
24._author-author-rec-fst-ref,26._doc-doc-doc,3
24._author-author-rec-fst-ref,27._doc-doc-doc,3
24._author-author-rec-fst-ref,28._doc-doc,2
24._author-author-rec-fst-ref,29._doc-doc,2
24._author-author-rec-fst-ref,30._doc-doc,2
24._author-author-rec-fst-ref,31._doc-doc,2
24._author-author-rec-fst-ref,32._doc-doc,2
24._author-author-rec-fst-ref,33._doc,1
0._p23-p26-p21-p24-p25,35._cite-author-cite-ref-cite,5
35._cite-author-cite-ref-cite,36._doc-doc-doc-doc,4
35._cite-author-cite-ref-cite,37._doc-doc-doc-doc,4
35._cite-author-cite-ref-cite,38._doc-doc-doc,3
0._p23-p26-p21-p24-p25,40._rec-class-key,3
40._rec-class-key,41._doc,1
40._rec-class-key,42._doc,1
40._rec-class-key,43._doc,1
40._rec-class-key,44._doc,1
0._p23-p26-p21-p24-p25,46._key,1
46._key,47._key,1
47._key,48._key,1
0._p23-p26-p21-p24-p25,50._key,1
0._p23-p26-p21-p24-p25,51._key,1
