from,to,weight
0._s15-s7-s4-s2,1._fst-key-ref-ref,4
1._fst-key-ref-ref,2._fst-class-doc-doc,4
2._fst-class-doc-doc,3._fst-fst-cite,3
3._fst-fst-cite,4._fst-key-doc,3
4._fst-key-doc,5._author-doc-ref,3
5._author-doc-ref,6._doc-doc,2
5._author-doc-ref,7._doc-doc,2
5._author-doc-ref,8._doc-doc,2
5._author-doc-ref,9._doc-doc,2
5._author-doc-ref,10._doc-doc,2
5._author-doc-ref,11._doc-doc,2
5._author-doc-ref,12._doc-doc,2
5._author-doc-ref,13._doc,1
5._author-doc-ref,14._doc,1
5._author-doc-ref,15._doc,1
4._fst-key-doc,17._doc-doc,2
4._fst-key-doc,18._doc-doc,2
4._fst-key-doc,19._doc-doc,2
4._fst-key-doc,20._doc-doc,2
4._fst-key-doc,21._doc,1
3._fst-fst-cite,22._doc-doc,2
3._fst-fst-cite,23._doc-doc,2
3._fst-fst-cite,24._doc-doc,2
3._fst-fst-cite,25._doc,1
2._fst-class-doc-doc,26._doc-doc,2
2._fst-class-doc-doc,27._doc,1
2._fst-class-doc-doc,28._doc,1
2._fst-class-doc-doc,29._doc,1
2._fst-class-doc-doc,30._doc,1
2._fst-class-doc-doc,31._doc,1
2._fst-class-doc-doc,32._doc,1
2._fst-class-doc-doc,33._doc,1
2._fst-class-doc-doc,34._doc,1
2._fst-class-doc-doc,35._doc,1
2._fst-class-doc-doc,36._doc,1
1._fst-key-ref-ref,37._doc-doc-doc-doc,4
37._doc-doc-doc-doc,38._cite,1
38._cite,39._doc,1
1._fst-key-ref-ref,41._doc-doc-doc-doc,4
1._fst-key-ref-ref,42._doc-doc-doc,3
1._fst-key-ref-ref,43._doc-doc-doc,3
1._fst-key-ref-ref,44._doc-doc-doc,3
1._fst-key-ref-ref,45._doc-doc-doc,3
1._fst-key-ref-ref,46._doc-doc-doc,3
1._fst-key-ref-ref,47._doc-doc,2
1._fst-key-ref-ref,48._doc,1
0._s15-s7-s4-s2,48._cite-rec-cite,3
48._cite-rec-cite,49._doc-doc-doc,3
49._doc-doc-doc,50._author-rec,2
50._author-rec,51._doc-doc,2
50._author-rec,52._doc-doc,2
50._author-rec,53._doc-doc,2
50._author-rec,54._doc-doc,2
50._author-rec,55._doc-doc,2
50._author-rec,56._doc,1
50._author-rec,57._doc,1
49._doc-doc-doc,59._fst,1
59._fst,60._fst,1
60._fst,61._fst,1
61._fst,62._fst,1
62._fst,63._fst,1
63._fst,64._fst,1
64._fst,65._doc,1
64._fst,66._doc,1
64._fst,67._doc,1
64._fst,68._doc,1
63._fst,70._doc,1
63._fst,71._doc,1
63._fst,72._doc,1
62._fst,73._doc,1
61._fst,74._doc,1
61._fst,75._doc,1
61._fst,76._doc,1
61._fst,77._doc,1
61._fst,78._doc,1
61._fst,79._doc,1
48._cite-rec-cite,79._doc-doc,2
48._cite-rec-cite,80._doc-doc,2
48._cite-rec-cite,81._doc,1
0._s15-s7-s4-s2,82._rec-author,2
82._rec-author,83._doc-doc,2
82._rec-author,84._doc,1
0._s15-s7-s4-s2,86._fst,1
86._fst,87._fst,1
87._fst,88._doc,1
87._fst,89._doc,1
